Tamper Timestamp,Target Object Category
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:44,bottle,YES
2026-06-29 11:55:45,bottle,YES
2026-06-29 11:55:45,bottle,YES
2026-06-29 11:55:45,bottle,YES
2026-06-29 11:55:45,bottle,YES
2026-06-29 11:55:45,bottle,YES
2026-06-29 11:55:46,bottle,YES
2026-06-29 11:55:46,bottle,YES
2026-06-29 11:55:46,bottle,YES
2026-06-29 11:55:46,bottle,YES
2026-06-29 11:55:46,bottle,YES
2026-06-29 11:55:46,bottle,YES
2026-06-29 11:56:53,bottle,YES
2026-06-29 11:56:59,bottle,YES
